#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
CD19	930	16p11.2	chr16:28931735-28939347	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613493	
CD27	939	12p13.31	chr12:6444867-6451718	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615122	
CD36	948	7q21.11	chr7:80602188-80679277	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CD3D	915	11q23.3	chr11:118339074-118344233	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615617	
CD3E	916	11q23.3	chr11:118304580-118316175	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-05-09	615615	
CD3G	917	11q23.3	chr11:118344307-118353782	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615607	
CD40LG	959	Xq26.3	chrX:136648177-136660390	3	Sufficient evidence for dosage pathogenicity	22750225	24768948	16019685	0	No evidence available	29499223			2020-04-08	308230	
CD59	966	11p13	chr11:33703010-33736479	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612300	
CD8A	925	2p11.2	chr2:86784605-86808396	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608957	
CDAN1	146059	15q15.2	chr15:42723557-42737219	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	224120	
CDC42BPB	9578	14q32.32	chr14:102932379-103057405	1	Little evidence for dosage pathogenicity	22495309	28263302		0	No evidence available				2018-10-24		
CDH1	999	16q22.1	chr16:68737290-68835542	3	Sufficient evidence for dosage pathogenicity	26182300	24037103	19168852	0	No evidence available				2020-04-10	137215	
CDH15	1013	16q24.3	chr16:89171755-89195492	0	No evidence available				0	No evidence available				2013-08-08	612580	
CDH23	64072	10q22.1	chr10:71396934-71815947	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CDHR1	92211	10q23.1	chr10:84194635-84219621	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613660	
CDK5RAP2	55755	9q33.2	chr9:120388869-120580170	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	604804	
CDK6	1021	7q21.2	chr7:92604921-92836627	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	616080	
CDKL5	6792	Xp22.13	chrX:18425605-18653629	3	Sufficient evidence for dosage pathogenicity	15492925	15689447	19241098	0	No evidence available				2012-07-12	300672	
CDKN1C	1028	11p15.4	chr11:2883218-2885804	3	Sufficient evidence for dosage pathogenicity	20503313			0	No evidence available				2012-03-22	130650	
CDT1	81620	16q24.3	chr16:88803778-88809258	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613804	
CDY1	9085	Yq11.23	chrY:25622115-25625511	0	No evidence available				0	No evidence available				2012-08-22		
CEBPE	1053	14q11.2	chr14:23117306-23119611	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	245480	
CECR1	51816	22q11.1	chr22:17178790-17221854	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CENPJ	55835	13q12.12-q12.13	chr13:24882274-24922889	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CENPP	401541	9q22.31	chr9:92325457-92615164	0	No evidence available				0	No evidence available				2012-09-19		
CEP164	22897	11q23.3	chr11:117316346-117413266	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614845	
CEP290	80184	12q21.32	chr12:88049013-88142216	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-08-22		
CEP78	84131	9q21.2	chr9:78236062-78278431	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-10-23		
CERS3	204219	15q26.3	chr15:100400395-100544982	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615023	
CFAP53	220136	18q21.1	chr18:50227193-50266522	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614779	
CFC1	55997	2q21.1	chr2:130592165-130599575	2	Some evidence for dosage pathogenicity	11062482	11799476		0	No evidence available				2011-11-17		
CFD	1675	19p13.3	chr19:859659-863569	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613912	
CFL2	1073	14q13.1	chr14:34710382-34714823	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610687	
CFTR	1080	7q31.2	chr7:117478367-117668665	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CHAMP1	283489	13q34	chr13: 114314503-114327322	2	Some evidence for dosage pathogenicity	26751395	26340335	27148580	0	No evidence available				2020-03-25	616579	
CHAT	1103	10q11.23	chr10:49609095-49665104	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CHD1L	9557	1q21.1	chr1:147172804-147295766	0	No evidence available				0	No evidence available				2018-08-30		
CHD2	1106	15q26.1	chr15:92900321-93028007	3	Sufficient evidence for dosage pathogenicity	23708187	23020937	24207121	0	No evidence available				2019-10-23	615369	
CHD7	55636	8q12.2	chr8:60678744-60868028	3	Sufficient evidence for dosage pathogenicity	21158681	16400610	19248844	0	No evidence available				2012-07-06	214800	
CHD8	57680	14q11.2	chr14:21385194-21437298	3	Sufficient evidence for dosage pathogenicity	23160955	24998929	27824329	0	No evidence available				2018-04-25	615032	
CHEK2	11200	22q12.1	chr22:28687743-28741866	3	Sufficient evidence for dosage pathogenicity	15122511	16897426	18381420	0	No evidence available				2020-01-08		
CHKB	1120	22q13.33	chr22:50578958-50582999	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	602541	
CHM	1121	Xq21.2	chrX:85861180-86047565	3	Sufficient evidence for dosage pathogenicity	8477262	9067750		0	No evidence available				2012-03-22	303100	
CHMP1A	5119	16q24.3	chr16:89644431-89657785	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614961	
CHRDL1	91851	Xq23	chrX:110673856-110796058	3	Sufficient evidence for dosage pathogenicity	22284829	25093588	26020825	0	No evidence available				2016-12-08	309300	
CHRM3	1131	1q43	chr1:239386565-239915450	1	Little evidence for dosage pathogenicity	23253743			0	No evidence available				2015-03-11		
CHRNA7	1139	15q13.3	chr15:32030462-32172521	0	No evidence available				0	No evidence available				2018-05-10		
CHST6	4166	16q23.1	chr16:75473124-75495419	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	217800	
CHSY1	22856	15q26.3	chr15:101175723-101251932	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	605282	
CIC	23152	19q13.2	chr19:42268537-42295796	2	Some evidence for dosage pathogenicity	28288114	28263302	22542183	0	No evidence available				2019-08-17	617600	
CIDEC	63924	3p25.3	chr3:9866710-9880254	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615238	
CLCF1	23529	11q13.2	chr11:67364168-67374177	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610313	
CLCN4	1183	Xp22.2	chrX:10156945-10237660	2	Some evidence for dosage pathogenicity	25644381	27550844		0	No evidence available				2018-09-26	300114	
CLCN5	1184	Xp11.23	chrX:49922615-50099235	3	Sufficient evidence for dosage pathogenicity	15086899	22083641		0	No evidence available				2012-10-18	300009,310468	
CLCNKA	1187	1p36.13	chr1:16021991-16034050	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-05-17	613090	
CLCNKB	1188	1p36.13	chr1:16043736-16057326	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2011-11-17		
CLDN14	23562	21q22.13	chr21:36460621-36576569	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614035	
CLMP	79827	11q24.1	chr11:123072006-123195305	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615237	
CLN3	1201	16p12.1	chr16:28466653-28492302	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	204200	
CLN8	2055	8p23.3	chr8:1755778-1786570	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CLNK	116449	4p16.1	chr4:10489899-10734853	0	No evidence available				0	No evidence available				2016-06-02		
CLPP	8192	19p13.3	chr19:6361452-6368904	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-03-06	614129	
CLRN1	7401	3q25.1	chr3:150926163-150972999	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
CNGB1	1258	16q21	chr16:57882340-57971116	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613767	
CNKSR2	22866	Xp22.12	chrX:21374298-21654695	2	Some evidence for dosage pathogenicity	22511892	25223753	25754917	0	No evidence available				2019-12-04	301008	
CNNM4	26504	2q11.2	chr2:96760902-96811891	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	217080	
CNOT3	4849	19q13.42	chr19:54137689-54155708	0	No evidence available				0	No evidence available				2018-06-27		
CNTN1	1272	12q12	chr12:40692439-41072412	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612540	
CNTN2	6900	1q32.1	chr1:205042937-205078272	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615400	
CNTN4	152330	3p26.3-p26.2	chr3:2098771-3059080	1	Little evidence for dosage pathogenicity	15106122	18349135	21308999	0	No evidence available	22750301			2017-10-18		
CNTN6	27255	3p26.3	chr3:978021-1403610	1	Little evidence for dosage pathogenicity	25606055	26257835	27166760	0	No evidence available	26257835			2017-10-18		
CNTNAP2	26047	7q35-q36.1	chr7:146116035-148420998	1	Little evidence for dosage pathogenicity	22031302			0	No evidence available				2019-10-23		
COG1	9382	17q25.1	chr17:73193034-73208507	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	611209	
COG4	25839	16q22.1	chr16:70480569-70523554	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613489	
COG7	91949	16p12.2	chr16:23388493-23453215	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-04-08	608779	
COG8	84342	16q22.1	chr16:69328621-69339623	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-25	611182	
COL11A1	1301	1p21.1	chr1:102876467-103108580	1	Little evidence for dosage pathogenicity	21035103			0	No evidence available				2011-10-19	120280	
COL1A1	1277	17q21.33	chr17:50184096-50201648	3	Sufficient evidence for dosage pathogenicity	9067755	9016532		0	No evidence available				2012-08-23	166200	
COL1A2	1278	7q21.3	chr7:94394561-94431232	0	No evidence available				0	No evidence available				2012-10-12		
COL2A1	1280	12q13.11	chr12:47972965-48006212	3	Sufficient evidence for dosage pathogenicity	1444917	8406454	10982970	0	No evidence available				2012-02-23	108300	
COL3A1	1281	2q32.2	chr2:188974373-189012746	3	Sufficient evidence for dosage pathogenicity	11577371	24922459	24650746	0	No evidence available				2017-01-12	130050	
COL4A3	1285	2q36.3	chr2:227164565-227314792	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2013-05-22	203780,141200	
COL4A5	1287	Xq22.3	chrX:108439844-108697545	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-03-22	301050	
COL5A1	1289	9q34.3	chr9:134641790-134844843	3	Sufficient evidence for dosage pathogenicity	10777716	8673139	10796876	0	No evidence available				2017-12-14	130000	
COL9A1	1297	6q13	chr6:70216040-70303083	0	No evidence available				0	No evidence available				2013-11-06	614135	
COL9A2	1298	1p34.2	chr1:40300487-40317653	0	No evidence available				0	No evidence available				2013-10-09	604204	
COLEC11	78989	2p25.3	chr2:3594832-3644644	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	265050	
COLQ	8292	3p25.1	chr3:15450133-15521751	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	603034	
COQ2	27235	4q21.22-q21.23	chr4:83138568-83285129	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
CORO1A	11151	16p11.2	chr16:30183410-30189076	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615401	
COX10	1352	17p12	chr17:14069402-14208679	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
COX14	84987	12q13.12	chr12:50111981-50120457	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	220110	
COX15	1355	10q24.2	chr10:99694793-99732667	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
COX20	116228	1q44	chr1:244835306-244845063	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	220110	
COX6B1	1340	19q13.12	chr19:35648223-35658784	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	220110	
CP	1356	3q24-q25.1	chr3:149162410-149222050	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	604290	
CPA4	51200	7q32.2	chr7:130293134-130324180	0	No evidence available				0	No evidence available				2012-07-25		
CPA6	57094	8q13.2	chr8:67422170-67747114	0	No evidence available				0	No evidence available				2019-09-04		
CPN1	1369	10q24.2	chr10:100042308-100081885	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	212070	
CPS1	1373	2q34	chr2:210477682-210679107	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
CPT1A	1374	11q13.3	chr11:68754620-68844410	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	255120	
CRADD	8738	12q22	chr12:93677346-93894840	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614499	
CREBBP	1387	16p13.3	chr16:3725054-3880727	3	Sufficient evidence for dosage pathogenicity	17473832	20717166	18792986 18792986 20689175 30892814 30633342	0	No evidence available	19833603			2019-10-23	180849	
CRHR1	1394	17q21.31	chr17:45784280-45835828	0	No evidence available				0	No evidence available				2012-07-06		
CRIPT	9419	2p21	chr2:46617172-46630176	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615789	
CRKL	1399	22q11.21	chr22:20917398-20953749	1	Little evidence for dosage pathogenicity	28121514			0	No evidence available				2020-04-13		
CRTAP	10491	3p22.3	chr3:33113958-33147773	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	610682	
CRYBA1	1411	17q11.2	chr17:29246857-29254494	0	No evidence available				0	No evidence available				2013-06-06		
CRYBB2	1415	22q11.23	chr22:25211660-25231869	1	Little evidence for dosage pathogenicity				0	No evidence available				2013-03-13		
CRYGC	1420	2q33.3	chr2:208128137-208139100	0	No evidence available				0	No evidence available				2013-05-22		
CSF2RB	1439	22q12.3	chr22:36913574-36940449	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614370	
CSMD1	64478	8p23.2	chr8:2935353-4995035	1	Little evidence for dosage pathogenicity	23375656	21658582	22083728	0	No evidence available				2018-10-24		
CSPP1	79848	8q13.1-q13.2	chr8:67062417-67196614	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615636	
